Date,Open Price,High Price,Low Price,Close Price,WAP,Total Shares,Total Trades,Change(%)
1-Aug-11,837,837.95,822.8,830.9,829.346523,458238,15663,-6.1
2-Aug-11,829.8,845,818.15,835.1,829.144907,726397,21576,5.3
3-Aug-11,827.95,836,823.5,825.15,828.6340087,449426,13738,-2.8
4-Aug-11,829.4,831.65,810.25,812.5,820.7138365,484293,16203,-16.9
5-Aug-11,799.95,799.95,778.55,791.65,789.4634156,1197655,38350,-8.3
8-Aug-11,775,796.8,767.05,780.6,780.5289637,952642,28495,5.6
9-Aug-11,759.95,778.7,754.1,765.4,765.0605192,1182534,35661,5.45
10-Aug-11,786.45,790,765,771,775.37207,710162,20043,-15.45
11-Aug-11,766.1,784.7,766.1,773.4,776.4738641,507903,15405,7.3
27-Jul-17,1629.95,1631.1,1591,1598.35,1614.65722,250169,7961,-31.6
28-Jul-17,1597,1605,1579,1594.25,1591.922902,228358,8293,-2.75
31-Jul-17,1600.05,1618,1596,1613.85,1609.867411,192588,6395,13.8
1-Aug-17,1623.85,1625,1591.6,1603.55,1605.076383,142243,6365,-20.3
2-Aug-17,1608.6,1636,1605,1629.1,1625.680718,334548,8329,20.5
3-Aug-17,1629.9,1665,1616.9,1651.55,1648.020785,381187,11494,21.65
4-Aug-17,1660.55,1663.2,1615.55,1622.5,1626.499937,284552,12820,-38.05
7-Aug-17,1629.6,1632,1612.8,1616.6,1621.435716,202763,7256,-13
8-Aug-17,1620,1621,1588.25,1603.4,1604.643725,207090,6116,-16.6
9-Aug-17,1600,1619.9,1585.75,1598.85,1605.260772,193556,6416,-1.15
10-Aug-17,1597.95,1606.85,1577.3,1584.05,1591.165154,339199,6331,-13.9
11-Aug-17,1554.9,1578,1535.5,1546.55,1556.808395,251961,9085,-8.35
14-Aug-17,1556.5,1585,1556.5,1573.15,1572.439353,291672,10239,16.65
16-Aug-17,1571,1578,1550.55,1566.95,1561.450133,239849,10298,-4.05
17-Aug-17,1571.7,1596.85,1560.1,1566.05,1580.65346,313387,7954,-5.65
18-Aug-17,1566,1579.5,1553.65,1575.4,1568.463691,142815,5197,9.4
21-Aug-17,1577.05,1585.1,1563,1565.8,1573.924633,436281,13239,-11.25
22-Aug-17,1574,1579.5,1558,1563.35,1571.21915,159019,4482,-10.65
23-Aug-17,1567,1585,1554,1581.3,1567.352532,191458,5895,14.3
24-Aug-17,1591.7,1592.2,1564.6,1567.4,1575.516926,168554,5170,-24.3
28-Aug-17,1579,1582.25,1561.7,1565.8,1568.057315,133246,4929,-13.2
29-Aug-17,1560,1566.8,1530,1531.75,1542.742949,203547,9964,-28.25
30-Aug-17,1545,1568.6,1543.6,1564.15,1556.5817,188965,5859,19.15
31-Aug-17,1570.3,1597.5,1570.3,1593.5,1585.70094,314208,9754,23.2
1-Sep-17,1601.8,1615.95,1598.2,1609.35,1608.625736,202910,5453,7.55
4-Sep-17,1615,1635.75,1596.2,1611.35,1613.510985,1027025,7786,-3.65
5-Sep-17,1619,1634.9,1619,1633,1629.58286,1047047,6221,14
6-Sep-17,1631.4,1652.4,1625,1644.6,1644.009781,949193,13264,13.2
7-Sep-17,824,832.7,816.5,818.9,822.9544913,639020,11667,-5.1
8-Sep-17,820.1,823.6,812.8,817.15,817.433113,293009,5698,-2.95
11-Sep-17,820.4,827,816.05,818.1,823.7050423,982073,3754,-2.3
12-Sep-17,822.1,824.6,817.45,823.3,821.4345681,140436,3724,1.2
13-Sep-17,824,859.25,822.5,849.1,847.6676509,751535,16761,25.1
14-Sep-17,857,861.4,842,844.2,849.1343116,466073,7924,-12.8
15-Sep-17,842.1,852.15,835.4,843.4,842.2777821,414656,6578,1.3
18-Sep-17,847,851.3,843.1,845.4,847.0527626,272693,4115,-1.6
19-Sep-17,849,849,837.55,840,840.5142155,199852,3467,-9
20-Sep-17,856.25,872.1,845,847.1,854.9729188,745756,12796,-9.15
21-Sep-17,848,851.4,837,841.3,841.948846,415569,5741,-6.7
22-Sep-17,840.7,840.7,814,817.5,825.1978007,447324,9621,-23.2
25-Sep-17,817.9,827.7,805.3,820.45,819.0158179,713622,9159,2.55
26-Sep-17,820.5,827,812.5,819.2,818.2639527,459787,11139,-1.3
27-Sep-17,827.5,827.5,795.5,798.6,806.1426765,590896,13091,-28.9
28-Sep-17,800,802.5,781.15,786.75,793.1419531,915584,12488,-13.25
29-Sep-17,791,793.5,780,782.15,785.3052339,643300,8766,-8.85
3-Oct-17,792.35,803.7,786.25,798.35,798.3802257,606837,9055,6
4-Oct-17,798.35,824.95,795.5,819.2,811.6811734,410935,7632,20.85
5-Oct-17,825,828.25,818.75,824.2,822.8070609,354967,5529,-0.8
6-Oct-17,824.9,838.9,822.65,836.85,832.5778099,279656,5227,11.95
9-Oct-17,836.85,838,828.25,830.75,832.4467606,252670,4972,-6.1
10-Oct-17,831,846.9,830.75,843.4,842.435583,316112,5386,12.4
11-Oct-17,845,857.9,836.3,840.4,850.0971188,426076,9701,-4.6
12-Oct-17,841,876.2,841,872.5,861.3056144,632480,11893,31.5
13-Oct-17,880,891,874.25,876.7,880.8222368,625450,13222,-3.3
16-Oct-17,879.9,891.7,861.75,875.2,876.6475795,630948,13598,-4.7
17-Oct-17,878.9,883.95,867.3,874.25,874.7779731,332838,6014,-4.65
18-Oct-17,875.55,917,875.15,913.75,903.2513452,1010077,19092,38.2
19-Oct-17,916.7,921.75,903.25,910.35,914.7286144,278563,7057,-6.35
23-Oct-17,911.15,943.45,909.9,938.1,929.8291804,540383,12067,26.95
24-Oct-17,947.1,947.1,928.3,934.75,936.7926276,320250,6760,-12.35
25-Oct-17,940,945.75,930,939.95,938.5983724,448754,5375,-0.05
26-Oct-17,938.35,958.2,931.5,947.25,942.218476,694575,7474,8.9
27-Oct-17,950.1,956.5,926.4,929.45,946.4473129,4100930,13200,-20.65
30-Oct-17,931,945,931,940.15,937.9539593,435289,5971,9.15
31-Oct-17,943,945,932.1,940.8,936.6190478,476464,4586,-2.2
1-Nov-17,946,957.4,945.9,952.3,951.9311041,455586,9980,6.3
2-Nov-17,954,956.9,944.2,947.1,947.6387192,513714,4948,-6.9
3-Nov-17,953.3,953.3,940.5,945.6,944.2378278,725344,4272,-7.7
6-Nov-17,944,945,929,934.45,935.3622502,405565,6925,-9.55
7-Nov-17,934.45,935,903.15,906.65,911.7480624,426181,13790,-27.8
8-Nov-17,907,908.9,885.1,888.25,893.3735228,368861,12781,-18.75
9-Nov-17,895.1,909.1,892,901.55,902.2127916,320008,6998,6.45
10-Nov-17,900,901,880.35,883.5,887.2009341,302328,8216,-16.5
13-Nov-17,883.5,891.35,873,875.15,879.6941221,282688,10021,-8.35
14-Nov-17,875,894.5,873,886.2,885.1091394,289538,7252,11.2
15-Nov-17,886,889.85,878,882.4,884.9813902,1129619,6236,-3.6
16-Nov-17,882.5,905,882.5,902.45,900.541669,642828,7336,19.95
17-Nov-17,917.6,924.75,907.1,909.7,913.9673449,443239,6110,-7.9
20-Nov-17,910,924,905.25,918.85,913.7204415,429005,5373,8.85
21-Nov-17,925,939.7,924,932.4,933.9375914,477835,9751,7.4
22-Nov-17,937.05,938.7,924.55,930.25,930.1009161,417327,5109,-6.8
23-Nov-17,925.65,948,925.65,945.15,939.4017946,553671,5919,19.5
24-Nov-17,948,959,946.65,949.5,951.0387429,508893,6902,1.5
27-Nov-17,948,955.75,943.5,950.7,948.1666635,316710,4629,2.7
28-Nov-17,949.45,950.95,938.25,942.95,943.5203566,227961,3555,-6.5
29-Nov-17,942.95,949.8,938,945.45,946.658781,506994,3992,2.5
30-Nov-17,940,952,920,922.6,929.2334175,299035,5411,-17.4
1-Dec-17,925,931.1,908,909.85,917.6892553,312694,6263,-15.15
4-Dec-17,915.75,917.9,898,901.5,902.0196059,452210,5258,-14.25
5-Dec-17,900.35,918.9,895.9,911.5,911.5182243,517058,7224,11.15
6-Dec-17,913.8,930.5,909.2,927.5,923.3249191,1026271,6618,13.7
7-Dec-17,927.1,933.95,922.8,930.65,927.8231108,473398,4849,3.55
8-Dec-17,937,937,919.65,920.95,924.6461326,365165,4529,-16.05
11-Dec-17,920.8,925.45,913.5,915.9,917.0954572,428087,5909,-4.9
12-Dec-17,913.5,928.95,907.9,915.05,919.5900588,535672,6348,1.55
13-Dec-17,919.75,924.3,912,914,918.6238286,556810,5677,-5.75
14-Dec-17,920,925,909,920.55,915.1228509,1041124,5012,0.55
15-Dec-17,929.2,933,917.5,919.9,926.1958835,414425,5717,-9.3
18-Dec-17,917,931.25,861.7,919.4,914.8890735,568232,10163,2.4
19-Dec-17,921.5,926.9,920.05,924,921.8706615,529672,3650,2.5
20-Dec-17,925,927,917,918.75,920.5102311,575306,4105,-6.25
21-Dec-17,920,923.2,911.1,913.05,917.2205409,312577,3500,-6.95
22-Dec-17,916,922,910.2,918.5,917.0572887,295905,4138,2.5
26-Dec-17,923,936.6,918.6,928,924.0982913,404624,4883,5
27-Dec-17,930.15,936.75,918.35,922.3,929.8727901,390127,4433,-7.85
28-Dec-17,923.2,934.2,918.65,924.4,924.9075651,557798,6860,1.2
29-Dec-17,925.9,932.25,918.1,921.05,924.3084474,913689,5527,-4.85
1-Jan-18,922,923,909.7,911.55,916.2715139,242669,4561,-10.45
2-Jan-18,915,919.2,907.25,911.4,915.4605034,1763025,4599,-3.6
3-Jan-18,924.45,927.2,913.3,916.35,920.1406249,515755,6497,-8.1
4-Jan-18,919,921.8,916,920.25,918.934284,238922,3185,1.25
5-Jan-18,920.5,925.85,919.45,923,922.6996799,406686,3944,2.5
8-Jan-18,924.1,930.2,923.6,928.45,926.6460287,332558,5671,4.35
9-Jan-18,929.05,943.95,924,940.9,938.2302583,519256,10058,11.85
10-Jan-18,945,946.75,935.4,941.5,941.5209902,352402,5542,-3.5
11-Jan-18,941.75,942.75,935,937.2,939.355317,268912,3289,-4.55
12-Jan-18,942,951.85,938.1,946.75,945.6583654,596333,6957,4.75
15-Jan-18,950.2,957.55,945.2,947.6,951.120201,445379,6628,-2.6
16-Jan-18,949,949,920,923.5,931.1250688,479344,19943,-25.5
17-Jan-18,925,928.65,908,924.65,921.6850436,360307,6212,-0.35
18-Jan-18,930,930,911,919.3,922.3016798,354147,5722,-10.7
19-Jan-18,922,932.35,922,929.35,927.024905,600361,6794,7.35
22-Jan-18,948.5,974.5,940.1,971.2,956.7865343,1773742,22829,22.7
23-Jan-18,975,990,975,981.7,983.9124992,669605,10836,6.7
24-Jan-18,981.9,981.9,960.5,964.55,967.3366347,441731,7404,-17.35
25-Jan-18,970,971.45,957.25,964.55,964.4398222,421966,7960,-5.45
29-Jan-18,966,976.55,960.1,963.8,968.7348053,418040,5161,-2.2
30-Jan-18,964,964.3,945.55,949.25,953.6326425,694016,5373,-14.75
31-Jan-18,950,964.9,942,961.15,958.7986794,457062,5985,11.15
1-Feb-18,964.4,971.25,938.2,944.1,951.9725321,758632,9362,-20.3
2-Feb-18,938.7,943.25,903,905.7,917.4896983,701244,13805,-33
5-Feb-18,895.8,912,882.7,904.45,901.1943724,386485,8805,8.65
6-Feb-18,880,897.95,872.1,892.75,885.50149,1041277,17149,12.75
7-Feb-18,900.55,905.5,890.55,894,898.374157,374725,7365,-6.55
8-Feb-18,896.35,910,892.05,903.6,903.3117579,417327,6958,7.25
9-Feb-18,891.95,902.25,886.5,897.95,895.8892001,402311,5784,6
12-Feb-18,901.1,918,901.1,914.7,910.3160452,354136,5152,13.6
14-Feb-18,921.65,941.5,920.8,932.4,931.2538056,429100,8212,10.75
15-Feb-18,936.05,945,928.3,934.05,937.6137613,312747,5587,-2
16-Feb-18,937.35,942,918.65,921.7,929.6934246,241125,4569,-15.65
19-Feb-18,920.3,930.6,914.4,925.85,921.8183095,239308,5138,5.55
20-Feb-18,928,930,916,919.4,922.8017219,183167,3405,-8.6
21-Feb-18,927,931,922,928.35,926.571146,201220,3938,1.35
22-Feb-18,923.15,930.75,920,923.9,925.2010316,161502,3584,0.75
23-Feb-18,924.2,937,923.75,934,932.125452,204349,4145,9.8
26-Feb-18,936.1,944.75,936.1,938.6,941.3209455,197775,3734,2.5
27-Feb-18,939,955.5,938.6,949.95,949.2128459,342196,6700,10.95
28-Feb-18,944.5,954.9,937,952.45,949.6456511,231622,4695,7.95
